Date,Close,Open,High,Low,Vol.,Change %
2001-02-28,"1,351.4","1,295.3","1,362.25","1,294.6",150.44M,4.31%
2001-03-01,"1,358.05","1,351.75","1,399.55","1,345.05",136.40M,0.49%
2001-03-02,"1,306.35","1,360.25","1,386.75","1,301.8",124.76M,-3.81%
2001-03-05,"1,271.45","1,304.85","1,316.45","1,259.1",121.54M,-2.67%
2001-03-07,"1,290.5","1,272.8","1,311.1","1,249.45",104.38M,1.50%
2001-03-08,"1,292.85","1,290.85","1,307.95","1,279.3",60.22M,0.18%
2001-03-09,"1,254.75","1,292.7","1,292.7","1,219.35",60.12M,-2.95%
2001-03-12,"1,197.95","1,253.25","1,253.25","1,193.95",54.09M,-4.53%
2001-03-13,"1,124.7","1,197.85","1,201.15","1,098.75",69.14M,-6.11%
2001-03-14,"1,194.2","1,125.15","1,200.25","1,114.6",42.82M,6.18%
2001-03-15,"1,217.15","1,191.6","1,219.7","1,170.7",47.04M,1.92%
2001-03-16,"1,193.55","1,216.9","1,233.4","1,179.6",51.15M,-1.94%
2001-03-19,"1,186.7","1,192.85","1,201.7","1,173.15",29.20M,-0.57%
2001-03-20,"1,170.95","1,186.8","1,193.35","1,162.35",29.32M,-1.33%
2001-03-21,"1,207.1","1,168.8","1,212.2","1,156.15",30.17M,3.09%
2001-03-22,"1,187.55","1,206.45","1,218.35","1,184.95",33.69M,-1.62%
2001-03-23,"1,161.3","1,187.6","1,196.55","1,139.65",35.58M,-2.21%
2001-03-26,"1,161.5","1,159.85","1,165.65","1,147.5",22.76M,0.02%
2001-03-27,"1,177.75","1,161.6","1,182.7","1,157.25",34.35M,1.40%
2001-03-28,"1,206.2","1,177.55","1,209.6","1,177.55",31.74M,2.42%
2001-03-29,"1,195.1","1,204.9","1,210.1","1,185",31.58M,-0.92%
2001-03-30,"1,148.2","1,195.05","1,195.25","1,144.65",33.96M,-3.92%
2001-04-02,"1,138.1","1,148.1","1,148.1","1,094.35",40.16M,-0.88%
2001-04-03,"1,149.25","1,136.65","1,153.1","1,128.1",29.80M,0.98%
2001-04-04,"1,136.65","1,146.1","1,146.15","1,120.35",27.09M,-1.10%
2001-04-06,"1,139.6","1,137.55","1,171.85","1,133.05",36.17M,0.26%
2001-04-09,"1,128.35","1,137.6","1,138.55","1,116.1",28.40M,-0.99%
2001-04-10,"1,103.05","1,129.1","1,129.75","1,093.05",35.20M,-2.24%
2001-04-11,"1,066.8","1,104.9","1,116.85","1,056.1",39.18M,-3.29%
2001-04-12,"1,024.9","1,066.75","1,066.75","1,001.8",47.08M,-3.93%
2001-04-16,"1,044.6","1,024","1,049.4","1,000.1",44.79M,1.92%
2001-04-17,"1,067","1,044.85","1,072.9","1,037.7",50.80M,2.14%
2001-04-18,"1,103.4","1,066.5","1,106.3","1,063.05",55.98M,3.41%
2001-04-19,"1,144.45","1,103.6","1,159.3","1,103.6",70.68M,3.72%
2001-04-20,"1,144","1,145.75","1,156.45","1,120.6",49.36M,-0.04%
2001-04-23,"1,149.75","1,144.05","1,162.05","1,137.3",48.55M,0.50%
2001-04-24,"1,146.3","1,149.6","1,149.6","1,128.4",42.01M,-0.30%
